id,league_id,name,short_name,logo_url,espn_id
super_rugby-melbourne-rebels,super_rugby,Melbourne Rebels,MEL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25894.png,
super_rugby-moana-pasifika,super_rugby,Moana Pasifika,MOA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/289319.png,
super_rugby-new-south-wales-waratahs,super_rugby,New South Wales Waratahs,NSW,https://a.espncdn.com/i/teamlogos/rugby/teams/500/227.png,
super_rugby-queensland-reds,super_rugby,Queensland Reds,QUE,https://a.espncdn.com/i/teamlogos/rugby/teams/500/182.png,
super_rugby-western-force,super_rugby,Western Force,WES,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25893.png,
urc-bayonne,urc,Bayonne,BAY,,
urc-bordeaux-begles,urc,Bordeaux Begles,UNI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/143737.png,
urc-castres-olympique,urc,Castres Olympique,CAS,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25916.png,
urc-clermont-auvergne,urc,Clermont Auvergne,ASM,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25917.png,
urc-la-rochelle,urc,La Rochelle,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/119318.png,
urc-lyon,urc,Lyon,LYO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/143736.png,
urc-montpellier-herault,urc,Montpellier Herault,MON,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25918.png,
urc-oyonnax,urc,Oyonnax,OYO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/190153.png,
urc-pau,urc,Pau,SEC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/270567.png,
urc-perpignan,urc,Perpignan,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,
urc-racing-92,urc,Racing 92,RAC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/99855.png,
urc-stade-francais-paris,urc,Stade Francais Paris,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25921.png,
urc-stade-toulousain,urc,Stade Toulousain,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25922.png,
urc-toulon,urc,Toulon,RC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25986.png,
champions_cup-bath-rugby,champions_cup,Bath Rugby,BAT,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25898.png,
champions_cup-bayonne,champions_cup,Bayonne,BAY,,
champions_cup-bordeaux-begles,champions_cup,Bordeaux Begles,UNI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/143737.png,
champions_cup-bristol-rugby,champions_cup,Bristol Rugby,BRI,,
champions_cup-bulls,champions_cup,Bulls,BUL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25953.png,
champions_cup-cardiff-blues,champions_cup,Cardiff Blues,CAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25965.png,
champions_cup-connacht,champions_cup,Connacht,CON,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25923.png,
champions_cup-exeter-chiefs,champions_cup,Exeter Chiefs,EXE,https://a.espncdn.com/i/teamlogos/rugby/teams/500/116227.png,
champions_cup-glasgow-warriors,champions_cup,Glasgow Warriors,GLA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25952.png,
champions_cup-harlequins,champions_cup,Harlequins,HAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25901.png,
champions_cup-la-rochelle,champions_cup,La Rochelle,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/119318.png,
champions_cup-leicester-tigers,champions_cup,Leicester Tigers,LEI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25903.png,
champions_cup-leinster,champions_cup,Leinster,LEI,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25924.png,
champions_cup-lyon,champions_cup,Lyon,LYO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/143736.png,
champions_cup-munster,champions_cup,Munster,MUN,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25925.png,
champions_cup-northampton-saints,champions_cup,Northampton Saints,NOR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25907.png,
champions_cup-racing-92,champions_cup,Racing 92,RAC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/99855.png,
champions_cup-sale-sharks,champions_cup,Sale Sharks,SAL,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25908.png,
champions_cup-saracens,champions_cup,Saracens,SAR,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25909.png,
champions_cup-stade-francais-paris,champions_cup,Stade Francais Paris,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25921.png,
champions_cup-stade-toulousain,champions_cup,Stade Toulousain,STA,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25922.png,
champions_cup-stormers,champions_cup,Stormers,STO,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25962.png,
champions_cup-toulon,champions_cup,Toulon,RC,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25986.png,
champions_cup-ulster,champions_cup,Ulster,ULS,https://a.espncdn.com/i/teamlogos/rugby/teams/500/25926.png,
six_nations-1,six_nations,England,ENG,https://a.espncdn.com/i/teamlogos/rugby/teams/500/1.png,1
